Unit,Cycle,OpSet1,OpSet2,OpSet3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Label_RUL_30,Source
245,240,25.0017,0.62,60.0,462.54,537.91,1274.65,1058.79,7.05,9.03,174.64,1915.84,8029.22,0.93,37.13,164.26,2028.73,7900.63,10.98,0.02,308,1915,84.93,14.24,8.4616,1,Resampled
225,131,42.0075,0.84,100.0,445.0,549.74,1355.57,1132.37,3.91,5.72,138.46,2211.93,8327.95,1.02,42.49,130.44,2388.05,8095.53,9.4015,0.02,332,2212,100.0,10.54,6.3147,1,Resampled
79,166,0.0009,0.0,100.0,518.67,642.65,1598.93,1420.48,14.62,21.61,551.98,2388.22,9060.28,1.3,48.18,520.27,2388.22,8132.23,8.4798,0.03,394,2388,100.0,38.66,23.0801,1,Resampled
172,154,10.0059,0.2518,100.0,489.05,605.49,1503.08,1332.21,10.52,15.5,393.24,2319.04,8808.92,1.26,45.72,369.87,2388.3,8160.42,8.7035,0.03,371,2319,100.0,28.52,16.988,1,Resampled
163,202,25.0024,0.6202,60.0,462.54,537.23,1279.55,1062.85,7.05,9.03,175.3,1915.58,8032.38,0.94,37.2,164.07,2028.53,7888.86,10.9999,0.02,310,1915,84.93,14.24,8.4829,1,Resampled
208,123,42.005,0.8416,100.0,445.0,549.94,1355.25,1129.97,3.91,5.72,138.37,2211.8,8320.8,1.02,42.52,130.5,2387.87,8083.08,9.4091,0.02,333,2212,100.0,10.75,6.4333,1,Resampled
39,190,0.0016,0.0,100.0,518.67,643.01,1595.58,1422.36,14.62,21.61,551.97,2388.2,9063.63,1.3,47.83,520.26,2388.23,8135.24,8.4463,0.03,395,2388,100.0,38.67,23.2668,1,Resampled
147,206,20.0034,0.7016,100.0,491.19,608.52,1492.73,1268.59,9.35,13.66,333.2,2324.11,8729.67,1.07,44.97,313.96,2388.2,8056.04,9.3088,0.03,370,2324,100.0,24.22,14.5013,1,Resampled
110,197,25.0009,0.62,60.0,462.54,537.19,1266.95,1054.65,7.05,9.03,175.74,1915.99,8045.87,0.94,37.12,164.34,2028.95,7910.93,10.9853,0.02,309,1915,84.93,14.22,8.453,1,Resampled
133,154,25.0047,0.6213,60.0,462.54,537.49,1269.47,1069.29,7.05,9.03,174.8,1915.08,8005.25,0.94,37.11,164.19,2028.0,7863.92,11.0413,0.02,310,1915,84.93,14.2,8.4322,1,Resampled
207,164,35.0071,0.8415,100.0,449.44,556.38,1373.37,1138.05,5.48,8.0,194.46,2223.14,8361.2,1.02,42.23,182.83,2388.19,8081.46,9.405,0.02,336,2223,100.0,14.75,8.8806,1,Resampled
157,214,10.006,0.25,100.0,489.05,605.47,1502.11,1320.18,10.52,15.5,393.03,2319.09,8799.24,1.26,45.79,371.13,2388.25,8147.1,8.6883,0.03,371,2319,100.0,28.44,17.0437,1,Resampled
94,297,35.0058,0.84,100.0,449.44,556.71,1376.33,1141.28,5.48,8.01,194.03,2224.11,8417.1,1.02,42.29,182.59,2389.31,8131.41,9.3666,0.02,336,2223,100.0,14.79,8.8008,1,Resampled
250,163,0.0001,0.0,100.0,518.67,642.99,1593.57,1419.51,14.62,21.61,552.33,2388.29,9041.82,1.3,47.72,520.06,2388.22,8117.23,8.51,0.03,393,2388,100.0,38.53,23.1582,1,Resampled
16,133,35.0013,0.8416,100.0,449.44,555.94,1369.5,1133.86,5.48,8.0,193.97,2222.85,8343.2,1.02,42.09,183.06,2387.95,8058.69,9.362,0.02,336,2223,100.0,14.63,8.9086,1,Resampled
35,194,35.0047,0.8412,100.0,449.44,556.73,1374.57,1146.31,5.48,8.01,194.04,2224.31,8431.67,1.02,42.31,182.7,2389.5,8140.37,9.437,0.02,338,2223,100.0,14.71,8.8217,1,Resampled
83,156,20.0043,0.7,100.0,491.19,607.76,1492.64,1272.05,9.35,13.66,333.1,2323.96,8711.19,1.08,44.78,314.09,2388.16,8043.99,9.2815,0.03,367,2324,100.0,24.17,14.5684,1,Resampled
254,236,10.0035,0.25,100.0,489.05,605.28,1510.3,1324.36,10.52,15.5,393.4,2319.04,8760.17,1.26,45.84,370.49,2388.37,8114.82,8.7059,0.03,372,2319,100.0,28.39,17.0214,1,Resampled
67,116,34.9983,0.8415,100.0,449.44,556.24,1364.04,1134.98,5.48,8.0,194.8,2222.72,8337.42,1.02,42.07,183.29,2387.8,8053.67,9.3166,0.02,336,2223,100.0,14.72,8.9156,1,Resampled
247,184,0.0026,0.0,100.0,518.67,643.44,1598.42,1424.36,14.62,21.61,551.95,2388.17,9071.1,1.3,48.14,519.92,2388.24,8146.49,8.5625,0.03,396,2388,100.0,38.64,23.0138,1,Resampled
89,177,10.0046,0.25,100.0,489.05,605.82,1507.14,1326.17,10.52,15.5,392.85,2319.17,8767.49,1.26,45.91,370.37,2388.3,8111.97,8.7198,0.03,371,2319,100.0,28.42,17.0057,1,Resampled
32,265,35.0009,0.8411,100.0,449.44,556.22,1373.09,1142.63,5.48,8.0,194.0,2223.8,8406.2,1.02,42.12,182.86,2388.96,8115.82,9.4,0.02,335,2223,100.0,14.67,8.819,1,Resampled
59,172,10.0029,0.2515,100.0,489.05,605.18,1509.69,1320.04,10.52,15.5,392.99,2319.12,8813.27,1.26,45.82,370.47,2388.29,8157.24,8.6758,0.03,372,2319,100.0,28.43,17.0743,1,Resampled
7,147,10.0005,0.2514,100.0,489.05,604.7,1497.45,1314.82,10.52,15.5,393.42,2318.99,8821.71,1.26,45.77,371.27,2388.21,8167.56,8.6766,0.03,370,2319,100.0,28.32,17.0309,1,Resampled
230,158,10.003,0.25,100.0,489.05,605.26,1506.2,1321.62,10.52,15.5,394.86,2319.01,8798.76,1.26,45.7,371.26,2388.2,8142.95,8.6544,0.03,371,2319,100.0,28.42,17.0441,1,Resampled
89,164,24.9985,0.6208,60.0,462.54,537.36,1270.56,1062.26,7.05,9.03,173.16,1915.03,7997.94,0.94,37.1,163.76,2027.96,7860.48,10.9791,0.02,308,1915,84.93,14.15,8.6167,1,Resampled
97,144,42.0067,0.842,100.0,445.0,550.27,1366.48,1148.22,3.91,5.71,137.81,2211.61,8327.13,1.02,42.78,130.24,2387.59,8075.22,9.4784,0.02,334,2212,100.0,10.53,6.2082,1,Resampled
151,155,0.002,0.0,100.0,518.67,642.92,1600.49,1420.62,14.62,21.61,551.84,2388.21,9053.87,1.3,47.98,520.03,2388.22,8128.0,8.4978,0.03,394,2388,100.0,38.73,23.1647,1,Resampled
62,162,10.0074,0.251,100.0,489.05,605.59,1512.22,1327.91,10.52,15.5,393.71,2319.07,8797.17,1.26,45.94,371.22,2388.28,8145.35,8.7456,0.03,371,2319,100.0,28.48,17.039,1,Resampled
250,169,0.0023,0.0012,100.0,518.67,643.45,1589.9,1427.17,14.62,21.61,551.81,2388.28,9037.7,1.3,47.96,520.04,2388.27,8117.15,8.4834,0.03,395,2388,100.0,38.71,23.0672,1,Resampled
41,259,35.0031,0.84,100.0,449.44,556.58,1372.88,1145.89,5.48,8.01,193.58,2223.31,8378.71,1.02,42.67,182.46,2388.42,8087.08,9.4047,0.02,337,2223,100.0,14.68,8.881,1,Resampled
226,148,34.9984,0.84,100.0,449.44,555.99,1376.13,1143.17,5.48,8.0,194.18,2222.9,8353.01,1.02,42.25,182.05,2387.99,8059.75,9.3853,0.02,335,2223,100.0,14.96,8.8144,1,Resampled
50,201,41.9995,0.8402,100.0,445.0,550.23,1365.62,1137.56,3.91,5.72,138.85,2211.74,8319.21,1.02,42.39,130.42,2387.81,8079.71,9.4147,0.02,330,2212,100.0,10.43,6.3842,1,Resampled
104,207,25.0041,0.62,60.0,462.54,537.3,1273.5,1051.79,7.05,9.03,175.24,1916.1,8051.04,0.94,37.03,163.73,2029.02,7912.17,10.9954,0.02,309,1915,84.93,14.32,8.4794,1,Resampled
115,198,0.0001,0.0,100.0,518.67,643.13,1605.82,1421.08,14.62,21.61,551.48,2388.19,9070.6,1.3,47.93,519.99,2388.24,8146.03,8.4963,0.03,394,2388,100.0,38.51,23.1282,1,Resampled
126,184,10.002,0.25,100.0,489.05,606.13,1509.74,1325.82,10.52,15.5,393.35,2319.08,8798.68,1.26,46.02,371.1,2388.3,8143.7,8.7526,0.03,373,2319,100.0,28.38,16.9203,1,Resampled
21,185,42.005,0.84,100.0,445.0,551.18,1362.92,1139.92,3.91,5.72,139.11,2212.56,8361.59,1.02,42.48,129.62,2388.67,8122.07,9.4031,0.02,335,2212,100.0,10.41,6.2239,1,Resampled
199,215,41.9995,0.8415,100.0,445.0,550.39,1371.36,1140.33,3.91,5.72,138.15,2212.92,8392.5,1.03,42.6,130.64,2389.15,8150.85,9.4382,0.02,333,2212,100.0,10.36,6.2705,1,Resampled
94,281,20.0051,0.7,100.0,491.19,607.82,1483.7,1266.06,9.35,13.66,333.96,2324.38,8771.36,1.07,44.86,314.63,2388.51,8109.05,9.2682,0.03,367,2324,100.0,24.3,14.6269,1,Resampled
204,224,0.0015,0.0014,100.0,518.67,643.64,1602.71,1421.08,14.62,21.61,552.04,2388.16,9110.65,1.3,48.28,519.92,2388.12,8174.31,8.5242,0.03,396,2388,100.0,38.54,22.9732,1,Resampled
174,193,42.0047,0.84,100.0,445.0,550.3,1366.27,1148.8,3.91,5.72,138.27,2213.04,8402.11,1.03,42.57,130.59,2389.21,8147.88,9.4429,0.02,334,2212,100.0,10.42,6.2487,1,Resampled
79,168,10.0079,0.25,100.0,489.05,605.54,1508.69,1321.32,10.52,15.5,393.28,2319.15,8783.65,1.26,45.75,371.04,2388.31,8126.93,8.7555,0.03,372,2319,100.0,28.39,16.9561,1,Resampled
20,135,20.0012,0.7,100.0,491.19,608.09,1496.97,1267.83,9.35,13.66,333.84,2324.08,8721.46,1.07,44.86,314.48,2388.25,8058.62,9.2804,0.03,368,2324,100.0,24.44,14.5924,1,Resampled
77,162,20.007,0.7,100.0,491.19,608.11,1501.8,1266.49,9.35,13.66,334.58,2324.03,8718.83,1.08,44.73,314.44,2388.17,8052.74,9.2869,0.03,368,2324,100.0,24.26,14.4777,1,Resampled
67,130,0.0026,0.0,100.0,518.67,643.74,1591.97,1420.82,14.62,21.61,551.88,2388.2,9033.4,1.3,48.08,520.45,2388.23,8122.77,8.4935,0.03,396,2388,100.0,38.53,23.1542,1,Resampled
8,145,10.0055,0.25,100.0,489.05,606.25,1513.28,1318.77,10.52,15.5,393.5,2319.16,8795.8,1.26,46.05,370.09,2388.37,8133.66,8.726,0.03,371,2319,100.0,28.2,16.9583,1,Resampled
66,166,41.9992,0.8409,100.0,445.0,550.56,1361.28,1139.8,3.91,5.71,137.79,2211.73,8321.46,1.02,42.69,129.78,2387.73,8082.72,9.4624,0.02,334,2212,100.0,10.79,6.2765,1,Resampled
92,161,10.0075,0.25,100.0,489.05,605.25,1511.25,1324.81,10.52,15.5,393.33,2319.1,8790.26,1.26,45.67,370.73,2388.29,8129.89,8.7267,0.03,372,2319,100.0,28.37,17.0445,1,Resampled
243,211,0.0022,0.0007,100.0,518.67,643.53,1594.49,1425.56,14.62,21.61,552.71,2388.15,9115.9,1.3,47.85,519.58,2388.18,8182.98,8.4996,0.03,395,2388,100.0,38.6,23.1321,1,Resampled
85,325,42.0072,0.8407,100.0,445.0,550.41,1355.66,1143.37,3.91,5.71,138.44,2211.45,8305.45,1.02,42.71,130.27,2387.57,8067.97,9.4356,0.02,330,2212,100.0,10.59,6.3715,1,Resampled
228,236,0.0018,0.0001,100.0,518.67,643.65,1598.45,1424.8,14.62,21.61,552.34,2388.09,9103.67,1.3,47.95,520.2,2388.18,8174.67,8.5084,0.03,394,2388,100.0,38.63,23.1777,1,Resampled
44,205,25.0004,0.6203,60.0,462.54,537.73,1270.4,1069.3,7.05,9.03,174.06,1915.82,8041.77,0.94,37.36,163.94,2028.75,7900.94,11.0163,0.02,309,1915,84.93,14.07,8.5753,1,Resampled
202,171,0.002,0.0012,100.0,518.67,643.0,1594.07,1421.13,14.62,21.61,552.78,2388.17,9074.7,1.3,47.86,520.18,2388.18,8147.54,8.4607,0.03,397,2388,100.0,38.63,23.142,1,Resampled
177,181,41.9981,0.84,100.0,445.0,550.55,1360.96,1147.28,3.91,5.72,138.28,2212.79,8389.69,1.02,42.56,130.09,2388.99,8139.96,9.3988,0.02,336,2212,100.0,10.58,6.2909,1,Resampled
230,156,42.002,0.84,100.0,445.0,550.07,1350.63,1132.82,3.91,5.72,138.93,2212.1,8341.52,1.02,42.41,130.56,2388.18,8095.06,9.3684,0.02,333,2212,100.0,10.52,6.2897,1,Resampled
48,230,25.0028,0.62,60.0,462.54,537.44,1263.7,1055.11,7.05,9.03,174.68,1916.71,8086.37,0.94,37.0,164.36,2029.7,7946.24,10.9917,0.02,309,1915,84.93,14.2,8.5127,1,Resampled
246,164,20.0042,0.7,100.0,491.19,608.01,1488.43,1264.53,9.35,13.66,334.01,2324.14,8745.69,1.08,44.44,314.56,2388.29,8075.93,9.2851,0.02,367,2324,100.0,24.3,14.6275,1,Resampled
83,154,42.0076,0.84,100.0,445.0,550.06,1360.22,1145.51,3.91,5.71,138.53,2211.36,8309.48,1.02,42.64,130.29,2387.47,8063.81,9.4385,0.02,333,2212,100.0,10.59,6.3042,1,Resampled
26,157,42.0015,0.8402,100.0,445.0,549.99,1361.14,1140.28,3.91,5.72,138.82,2211.83,8326.35,1.02,42.32,129.61,2387.92,8084.26,9.4137,0.02,332,2212,100.0,10.49,6.2379,1,Resampled
130,167,42.0006,0.8419,100.0,445.0,550.21,1360.31,1143.56,3.91,5.72,138.3,2211.33,8308.0,1.02,42.58,129.97,2387.33,8056.91,9.4864,0.02,333,2212,100.0,10.7,6.4136,1,Resampled
2,242,41.9988,0.84,100.0,445.0,550.29,1360.03,1134.93,3.91,5.72,138.23,2212.17,8346.96,1.02,42.53,130.1,2388.29,8107.81,9.4046,0.02,333,2212,100.0,10.62,6.2832,1,Resampled
205,193,42.0079,0.84,100.0,445.0,551.0,1365.2,1148.83,3.91,5.71,138.2,2211.56,8316.81,1.02,42.81,129.55,2387.64,8073.43,9.5035,0.02,332,2212,100.0,10.44,6.2025,1,Resampled
102,155,0.0001,0.0012,100.0,518.67,643.77,1600.87,1417.47,14.62,21.61,551.37,2388.16,9113.26,1.3,47.9,520.17,2388.13,8181.27,8.4981,0.03,396,2388,100.0,38.57,23.2119,1,Resampled
64,254,9.9998,0.2515,100.0,489.05,604.96,1503.62,1323.6,10.52,15.5,393.31,2319.06,8769.46,1.26,45.78,370.84,2388.32,8117.79,8.6673,0.03,372,2319,100.0,28.39,17.0216,1,Resampled
52,148,42.0045,0.8411,100.0,445.0,550.55,1359.49,1140.33,3.91,5.72,139.27,2212.44,8351.49,1.02,42.26,130.21,2388.6,8120.1,9.4331,0.02,331,2212,100.0,10.54,6.2534,1,Resampled
128,279,41.9981,0.84,100.0,445.0,550.27,1361.95,1145.91,3.91,5.72,137.99,2212.46,8357.09,1.02,42.45,130.36,2388.58,8123.45,9.4223,0.02,334,2212,100.0,10.69,6.4387,1,Resampled
244,120,35.0037,0.84,100.0,449.44,555.98,1370.55,1148.81,5.48,8.0,193.4,2222.5,8324.92,1.02,42.29,182.7,2387.56,8041.52,9.4271,0.02,337,2223,100.0,14.59,8.8063,1,Resampled
100,186,10.0001,0.2511,100.0,489.05,605.33,1504.96,1314.71,10.52,15.5,393.59,2319.07,8806.58,1.26,45.69,370.72,2388.29,8143.21,8.6887,0.03,371,2319,100.0,28.4,17.057,1,Resampled
33,194,0.0,0.0,100.0,518.67,643.6,1602.83,1434.53,14.62,21.61,551.89,2388.21,9130.46,1.3,48.06,520.29,2388.17,8197.21,8.4935,0.03,397,2388,100.0,38.61,23.0799,1,Resampled
112,368,42.0045,0.8401,100.0,445.0,550.38,1363.56,1141.11,3.91,5.72,137.81,2212.4,8371.99,1.02,42.75,130.39,2388.58,8120.16,9.4543,0.02,335,2212,100.0,10.46,6.3243,1,Resampled
85,326,42.0065,0.84,100.0,445.0,550.58,1363.17,1139.97,3.91,5.72,138.51,2211.54,8306.07,1.02,42.69,130.36,2387.61,8070.32,9.4408,0.02,333,2212,100.0,10.45,6.2792,1,Resampled
169,172,0.0018,0.0014,100.0,518.67,643.38,1597.79,1421.11,14.62,21.61,551.98,2388.23,9098.0,1.3,47.94,519.94,2388.19,8166.51,8.4777,0.03,396,2388,100.0,38.34,23.1292,1,Resampled
124,267,41.9981,0.8411,100.0,445.0,550.73,1361.4,1144.85,3.91,5.72,137.7,2213.41,8425.89,1.03,42.75,130.38,2389.64,8178.14,9.4011,0.02,334,2212,100.0,10.31,6.3899,1,Resampled
258,135,19.9997,0.7,100.0,491.19,608.75,1490.47,1267.03,9.35,13.66,333.68,2324.07,8724.81,1.07,44.98,314.07,2388.23,8059.48,9.2877,0.03,369,2324,100.0,24.2,14.5264,1,Resampled
49,150,35.0014,0.84,100.0,449.44,556.0,1366.52,1140.69,5.48,8.0,194.73,2223.3,8374.81,1.02,42.31,183.21,2388.42,8086.18,9.37,0.02,334,2223,100.0,14.75,8.9201,1,Resampled
155,220,10.0029,0.252,100.0,489.05,605.48,1512.39,1326.76,10.52,15.5,392.81,2319.13,8789.75,1.26,45.99,370.7,2388.33,8140.09,8.7097,0.03,372,2319,100.0,28.33,16.9985,1,Resampled
212,123,0.0009,0.0019,100.0,518.67,643.08,1590.88,1417.35,14.62,21.61,553.02,2388.14,9037.31,1.3,47.76,520.77,2388.14,8125.65,8.4747,0.03,393,2388,100.0,38.9,23.2914,1,Resampled
222,187,24.9999,0.62,60.0,462.54,537.38,1275.27,1059.6,7.05,9.03,175.09,1915.25,8010.8,0.94,37.12,164.04,2028.13,7876.18,11.0335,0.02,310,1915,84.93,14.08,8.4786,1,Resampled
184,143,20.0003,0.7008,100.0,491.19,607.92,1493.72,1254.13,9.35,13.66,334.65,2324.28,8763.42,1.08,44.71,314.68,2388.33,8094.93,9.2565,0.03,366,2324,100.0,24.32,14.6087,1,Resampled
6,151,10.0069,0.25,100.0,489.05,605.77,1502.64,1317.86,10.52,15.5,393.44,2319.06,8775.86,1.26,45.68,371.05,2388.24,8121.26,8.6661,0.03,371,2319,100.0,28.28,17.0966,1,Resampled
139,183,41.9985,0.84,100.0,445.0,550.41,1357.57,1135.59,3.91,5.72,138.89,2212.62,8375.86,1.02,42.36,130.58,2388.77,8129.22,9.4521,0.02,334,2212,100.0,10.37,6.369,1,Resampled
64,280,10.0067,0.25,100.0,489.05,605.65,1510.96,1331.58,10.52,15.5,392.8,2319.24,8773.74,1.26,45.94,370.76,2388.42,8118.08,8.782,0.03,370,2319,100.0,28.18,17.0102,1,Resampled
33,168,41.999,0.84,100.0,445.0,549.9,1357.77,1125.78,3.91,5.72,138.55,2212.33,8349.61,1.03,42.58,130.41,2388.45,8115.17,9.4046,0.02,333,2212,100.0,10.35,6.4676,1,Resampled
207,181,20.0024,0.7,100.0,491.19,607.88,1500.4,1261.78,9.35,13.66,333.26,2324.23,8753.01,1.07,44.94,314.43,2388.37,8079.7,9.3045,0.03,367,2324,100.0,24.29,14.5108,1,Resampled
260,287,35.0025,0.84,100.0,449.44,556.05,1371.37,1137.09,5.48,8.01,194.19,2224.25,8434.29,1.02,42.1,182.77,2389.45,8131.72,9.3269,0.02,335,2223,100.0,14.92,8.9971,1,Resampled
159,224,25.0045,0.6202,60.0,462.54,537.86,1263.98,1058.77,7.05,9.03,175.59,1916.17,8059.87,0.94,37.14,163.88,2029.14,7914.66,11.0033,0.02,310,1915,84.93,14.26,8.5087,1,Resampled
108,151,35.0071,0.84,100.0,449.44,556.57,1374.39,1143.59,5.48,8.0,194.43,2223.35,8382.54,1.02,42.37,182.75,2388.46,8090.16,9.3964,0.02,336,2223,100.0,14.84,8.7242,1,Resampled
147,202,19.9997,0.7,100.0,491.19,608.27,1487.58,1275.9,9.35,13.66,333.53,2324.15,8724.08,1.08,44.87,313.78,2388.25,8056.97,9.3067,0.03,369,2324,100.0,24.23,14.5317,1,Resampled
247,170,34.9985,0.84,100.0,449.44,555.72,1375.63,1140.63,5.48,8.0,193.84,2223.0,8360.46,1.02,42.25,183.17,2388.15,8070.17,9.3718,0.02,336,2223,100.0,14.72,8.9093,1,Resampled
123,212,25.0052,0.6206,60.0,462.54,537.08,1260.2,1060.07,7.05,9.03,175.03,1916.1,8052.84,0.94,36.99,164.2,2029.05,7906.95,11.0289,0.02,311,1915,84.93,14.0,8.4928,1,Resampled
42,195,10.0054,0.25,100.0,489.05,605.34,1512.69,1325.78,10.52,15.5,393.21,2319.15,8780.11,1.26,45.96,370.37,2388.38,8131.5,8.7221,0.03,372,2319,100.0,28.41,17.07,1,Resampled
33,189,42.0009,0.8401,100.0,445.0,550.97,1365.15,1142.76,3.91,5.72,139.65,2212.82,8381.91,1.02,42.54,130.61,2388.93,8134.19,9.4042,0.02,334,2212,100.0,10.59,6.2996,1,Resampled
254,256,0.0006,0.0,100.0,518.67,644.11,1603.77,1432.49,14.62,21.61,551.3,2388.25,9036.81,1.3,48.15,519.87,2388.29,8112.08,8.536,0.03,395,2388,100.0,38.47,23.0828,1,Resampled
208,142,20.0022,0.7,100.0,491.19,608.34,1497.13,1263.32,9.35,13.66,333.08,2324.05,8722.8,1.07,44.81,314.23,2388.22,8060.91,9.2795,0.03,369,2324,100.0,24.31,14.5635,1,Resampled
255,328,0.0019,0.0,100.0,518.67,643.34,1603.18,1421.99,14.62,21.61,551.96,2388.23,9070.88,1.3,48.13,519.85,2388.18,8142.86,8.5197,0.03,397,2388,100.0,38.26,23.1116,1,Resampled
